AGE OF MOTHER,AGE OF FATHER,YEAR,COUNT
32,Not Stated,2016,21
33,<20,2016,0
33,20-24,2016,4
33,25-29,2016,32
33,30-34,2016,256
33,35-39,2016,168
33,40-44,2016,40
33,45-49,2016,10
33,50-54,2016,3
33,55-59,2016,2
33,60-64,2016,0
33,65+,2016,0
33,Not Stated,2016,16
34,<20,2016,1
34,20-24,2016,2
34,25-29,2016,18
34,30-34,2016,173
34,35-39,2016,191
34,40-44,2016,56
34,45-49,2016,6
34,50-54,2016,2
34,55-59,2016,1
34,60-64,2016,0
34,65+,2016,0
34,Not Stated,2016,19
35,<20,2016,0
35,20-24,2016,1
35,25-29,2016,11
35,30-34,2016,83
35,35-39,2016,188
35,40-44,2016,48
35,45-49,2016,15
35,50-54,2016,3
35,55-59,2016,0
35,60-64,2016,0
35,65+,2016,0
35,Not Stated,2016,9
36,<20,2016,0
36,20-24,2016,0
36,25-29,2016,5
36,30-34,2016,55
36,35-39,2016,181
36,40-44,2016,64
36,45-49,2016,16
36,50-54,2016,5
36,55-59,2016,1
36,60-64,2016,0
36,65+,2016,0
36,Not Stated,2016,9
37,<20,2016,0
37,20-24,2016,1
37,25-29,2016,5
37,30-34,2016,36
37,35-39,2016,116
37,40-44,2016,39
37,45-49,2016,19
37,50-54,2016,4
37,55-59,2016,1
37,60-64,2016,0
37,65+,2016,0
37,Not Stated,2016,11
38,<20,2016,0
38,20-24,2016,1
38,25-29,2016,4
38,30-34,2016,25
38,35-39,2016,64
38,40-44,2016,58
38,45-49,2016,17
38,50-54,2016,2
38,55-59,2016,1
38,60-64,2016,1
38,65+,2016,0
38,Not Stated,2016,6
39,<20,2016,0
39,20-24,2016,0
39,25-29,2016,3
39,30-34,2016,10
39,35-39,2016,48
39,40-44,2016,44
39,45-49,2016,16
39,50-54,2016,0
39,55-59,2016,2
39,60-64,2016,0
39,65+,2016,0
39,Not Stated,2016,5
40,<20,2016,0
40,20-24,2016,0
40,25-29,2016,2
40,30-34,2016,8
40,35-39,2016,17
40,40-44,2016,40
40,45-49,2016,11
40,50-54,2016,3
40,55-59,2016,0
40,60-64,2016,0
40,65+,2016,0
40,Not Stated,2016,8
41,<20,2016,0
41,20-24,2016,0
41,25-29,2016,1
41,30-34,2016,4
41,35-39,2016,12
41,40-44,2016,27
41,45-49,2016,12
41,50-54,2016,2
41,55-59,2016,0
41,60-64,2016,1
41,65+,2016,0
41,Not Stated,2016,3
42,<20,2016,0
42,20-24,2016,0
42,25-29,2016,0
42,30-34,2016,4
42,35-39,2016,8
42,40-44,2016,12
42,45-49,2016,9
42,50-54,2016,1
42,55-59,2016,2
42,60-64,2016,0
42,65+,2016,0
42,Not Stated,2016,4
43,<20,2016,0
43,20-24,2016,0
43,25-29,2016,0
43,30-34,2016,0
43,35-39,2016,1
43,40-44,2016,7
43,45-49,2016,7
43,50-54,2016,1
43,55-59,2016,0
43,60-64,2016,0
43,65+,2016,0
43,Not Stated,2016,1
44,<20,2016,0
44,20-24,2016,0
44,25-29,2016,0
44,30-34,2016,0
44,35-39,2016,0
44,40-44,2016,2
44,45-49,2016,3
44,50-54,2016,0
44,55-59,2016,1
44,60-64,2016,0
44,65+,2016,0
44,Not Stated,2016,0
45,<20,2016,0
45,20-24,2016,0
45,25-29,2016,0
45,30-34,2016,0
45,35-39,2016,0
45,40-44,2016,0
45,45-49,2016,3
45,50-54,2016,1
45,55-59,2016,0
45,60-64,2016,0
45,65+,2016,0
45,Not Stated,2016,0
46,<20,2016,0
46,20-24,2016,0
46,25-29,2016,0
46,30-34,2016,0
46,35-39,2016,0
46,40-44,2016,0
46,45-49,2016,0
46,50-54,2016,0
46,55-59,2016,0
46,60-64,2016,0
46,65+,2016,0
46,Not Stated,2016,0
47,<20,2016,0
47,20-24,2016,0
47,25-29,2016,0
47,30-34,2016,0
47,35-39,2016,1
47,40-44,2016,0
47,45-49,2016,0
47,50-54,2016,0
47,55-59,2016,0
47,60-64,2016,0
47,65+,2016,0
47,Not Stated,2016,0
48,<20,2016,0
48,20-24,2016,0
48,25-29,2016,0
48,30-34,2016,0
48,35-39,2016,0
48,40-44,2016,0
48,45-49,2016,0
48,50-54,2016,0
48,55-59,2016,0
48,60-64,2016,0
48,65+,2016,0
48,Not Stated,2016,0
49,<20,2016,0
49,20-24,2016,0
49,25-29,2016,0
49,30-34,2016,0
49,35-39,2016,0
49,40-44,2016,0
49,45-49,2016,0
49,50-54,2016,0
49,55-59,2016,0
49,60-64,2016,0
49,65+,2016,0
49,Not Stated,2016,0
50,<20,2016,0
50,20-24,2016,0
50,25-29,2016,0
50,30-34,2016,0
50,35-39,2016,0
50,40-44,2016,0
50,45-49,2016,0
50,50-54,2016,0
50,55-59,2016,0
50,60-64,2016,0
50,65+,2016,0
50,Not Stated,2016,0
51,<20,2016,0
51,20-24,2016,0
51,25-29,2016,0
51,30-34,2016,0
51,35-39,2016,0
51,40-44,2016,0
51,45-49,2016,0
51,50-54,2016,0
51,55-59,2016,0
51,60-64,2016,0
51,65+,2016,0
51,Not Stated,2016,0
52,<20,2016,0
52,20-24,2016,0
52,25-29,2016,0
52,30-34,2016,0
52,35-39,2016,0
52,40-44,2016,0
52,45-49,2016,0
52,50-54,2016,0
52,55-59,2016,0
52,60-64,2016,0
52,65+,2016,0
52,Not Stated,2016,0
53,<20,2016,0
53,20-24,2016,0
53,25-29,2016,0
53,30-34,2016,0
53,35-39,2016,0
53,40-44,2016,0
53,45-49,2016,0
53,50-54,2016,0
53,55-59,2016,0
53,60-64,2016,0
53,65+,2016,0
53,Not Stated,2016,0
54,<20,2016,0
54,20-24,2016,0
54,25-29,2016,0
54,30-34,2016,0
54,35-39,2016,0
54,40-44,2016,0
54,45-49,2016,0
54,50-54,2016,0
54,55-59,2016,0
54,60-64,2016,0
54,65+,2016,0
54,Not Stated,2016,0
55,<20,2016,0
55,20-24,2016,0
55,25-29,2016,0
55,30-34,2016,0
55,35-39,2016,0
55,40-44,2016,0
55,45-49,2016,0
55,50-54,2016,0
55,55-59,2016,0
55,60-64,2016,0
55,65+,2016,0
55,Not Stated,2016,0
56,<20,2016,0
56,20-24,2016,0
56,25-29,2016,0
56,30-34,2016,0
56,35-39,2016,0
56,40-44,2016,0
56,45-49,2016,0
56,50-54,2016,0
56,55-59,2016,0
56,60-64,2016,0
56,65+,2016,0
56,Not Stated,2016,0
57,<20,2016,0
57,20-24,2016,0
57,25-29,2016,0
57,30-34,2016,0
57,35-39,2016,0
57,40-44,2016,0
57,45-49,2016,0
57,50-54,2016,0
57,55-59,2016,0
57,60-64,2016,0
57,65+,2016,0
57,Not Stated,2016,0
58,<20,2016,0
58,20-24,2016,0
58,25-29,2016,0
58,30-34,2016,0
58,35-39,2016,0
58,40-44,2016,0
58,45-49,2016,0
58,50-54,2016,0
58,55-59,2016,0
58,60-64,2016,0
58,65+,2016,0
58,Not Stated,2016,0
59,<20,2016,0
59,20-24,2016,0
59,25-29,2016,0
59,30-34,2016,0
59,35-39,2016,0
